name,category,size,avg doc length,avg sentence length,avg sentences in doc,avg text dynamics,avg nouns to verbs,avg stopwords to words,avg punctuation to words
web_dokumenty_inne_biuletyny,Internet,310,10049.725965327028,22.062358575758413,455.5145784081954,0.061314493106961486,4.9135408274186325,0.20943621776419144,0.18052942765357347
web_dokumenty_inne_gazety,Internet,437,9482.43226311668,21.645209265078634,438.08457321848084,0.07444704378245744,4.010105557409494,0.22733821914918953,0.18229901739187263
web_dokumenty_inne_instrukcje,Internet,410,5517.289829804899,17.37065692774328,317.62125363221253,0.07227279153968243,4.736864459977976,0.18056664647679277,0.22919176481868628
web_dokumenty_inne_katalogi,Internet,758,10148.196958580671,30.270398290952656,335.2515173747749,0.03328385274304497,8.04374430561814,0.08915413796593835,0.18867536844770744
web_dokumenty_inne_klauzule,Internet,339,1152.4597812879708,25.169809791340782,45.78738539710593,0.041501038644029535,8.691080197344323,0.22524414901541792,0.24552991241897132
web_dokumenty_inne_raporty,Internet,1114,10487.002812264216,20.762131906405966,505.10240757253587,0.040174598976752005,8.651057463049234,0.21724518254017558,0.22005240316087615
web_dokumenty_inne_regulaminy,Internet,1477,2687.970789317369,21.452391909818083,125.29935126195274,0.04504848732822673,8.009353458665549,0.2177613312918273,0.20500468302987795
web_dokumenty_inne_statuty,Internet,928,10354.36620644313,22.97969502410307,450.5876251004456,0.04670556002250839,8.330704164249152,0.21180925883512863,0.20656883845941482
web_tekst_inne,Internet,14865,3325.2532660568545,20.483151358508547,162.34090193721923,0.055833298425348225,5.6067445406546605,0.2109340059919361,0.24235368907941998
news_1_general_corpus,Internet,1903,343.6944424851475,15.761143754524158,21.806440435929133,0.1012726624785814,2.934004669888074,0.3291282923980338,0.1972790211698115
news_2_it_corpus,Internet,453,451.51147547212827,16.545670227312602,27.2887993818951,0.09256448931275477,2.877854544655568,0.3282175015725252,0.1685636345491413
news_3_automotive_corpus,Internet,311,481.90031251601005,16.143502995902946,29.851037450689073,0.08240420091734695,3.5953939007992917,0.3128623655758053,0.1807970694090869
news_4_business_corpus,Internet,273,493.8806268392816,17.557498246669965,28.12932798856769,0.09227282518993737,3.280487069216372,0.32200723347924615,0.17863917949457353
news_5_lifestyle_corpus,Internet,362,494.0543093694438,13.394905060271,36.88374849589626,0.12037159755862697,2.33316799316292,0.37461952148931577,0.20379943785111132
news_6_general_corpus,Internet,381,419.92490853612253,17.953408080480287,23.38970443125408,0.09817849859517921,3.035836777241796,0.32241455324161317,0.208064587177508
